,书名,价格(元）
633,高效休息法 世界精英这样放松大脑 音频体验版,50.83
634,我的内在无穷大：自我探索的40堂必修课,50.83
635,全国计算机等级考试教程 一级计算机基础及MS Office应用,44.96
636,Spring学习指南 第4版,75.65
637,RPA机器人流程自动化快速入门 基于Blue Prism,42.33
638,Linux高效运维实战,118.15
639,想记就记：我的神奇笔记法,33.15
640,代码整洁之道 英文版,92.65
641,Selenium WebDriver自动化测试完全指南,58.65
642,编程珠玑 第2版,50.15
643,UNIX网络编程 卷1：套接字联网API（第3版）,143.65
644,国之重器出版工程 从局部到整体5G系统观,169.15
645,Vue.js前端开发基础与项目实战,58.65
646,ROS机器人编程实战,84.15
647,拍好短视频 一部手机就够了 策划拍摄剪辑运营,67.15
648,从零开始：Photoshop CC 2019中文版基础教程,59.42
649,零信任网络：在不可信网络中构建安全系统,50.15
650,深入理解Spring Cloud与微服务构建（第2版）,67.15
651,Node学习指南 第2版,58.65
652,Python核心技术实战详解,75.65
653,UNIX环境高级编程 第3版,143.65
654,Flink入门与实战,50.15
655,SQL入门经典（第6版）,58.65
656,Java EE实战精粹 MyBatis+Spring+Spring MVC,91.80
657,Java 开发从入门到精通（第2版）,92.65
658,科学速读：脑内新世界,42.42
659,智慧场馆与智慧学习,76.42
660,科学可以这样玩,59.42
661,从零开始——AutoCAD 2020中文版机械制图基础教程,50.92
662,动手学深度学习,72.25
663,深入浅出Docker,58.65
664,精准回应 让孩子养成自主自律的好习惯,50.83
665,追梦成长 用梦想成就自己和世界,59.33
666,Adobe Animate CC 2019经典教程,67.15
667,Adobe Audition CC 经典教程（第2版）,67.15
668,认知与改变：CBT对情绪和行为的积极影响,29.75
669,通信简史 从遗传编码到量子信息,66.30
670,VMware vSphere 6.7虚拟化架构实战指南,108.80
671,【抢读版】机器学习入门与实战,None
672,Spark海量数据处理 技术详解与平台实战,84.15
673,思科网络技术学院教程 CCNA安全 第4版,59.50
674,区块链原理与技术应用,58.65
675,京东HRBP启示录,58.65
676,抖音短视频运营全攻略 内容创作+特效拍摄+后期制作+吸粉引流+流量变现,38.25
677,UNIX操作系统设计,84.15
678,疗愈分手之痛,41.65
679,在抑郁打败你之前战胜它,50.15
680,童年之谜 了解儿童内心世界的心理学指南,75.65
681,物联网项目实战：基于Android Things系统,50.15
682,Java程序设计入门（第2版）,67.15
683,超级燃料：好脂肪与坏脂肪,58.65
684,花草工坊：101种天然植物护肤清洁用品DIY,75.65
685,猫在一起 (蓝色版),125.80
686,VR与AR开发高级教程：基于Unity（第2版）,84.83
687,第二曲线创新（第2版）：混沌大学创新必修教科书,58.65
688,AutoCAD 2020中文版建筑与室内设计从入门到精通,93.33
689,金蝶ERP-K3培训教程 财务供应链生产制造 第3版,101.92
690,浪潮之巅 第四版,118.15
691,编程珠玑 续,41.65
692,Spring Boot+Spring Cloud微服务开发实战,67.15
693,树莓派用户指南（第4版）,58.65
694,王朝:动物家族的兴衰,83.30
695,深入浅出GAN生成对抗网络 原理剖析与TensorFlow实践,84.15
696,C++游戏编程 创建3D游戏,84.15
697,深入浅出MySQL：数据库开发、优化与管理维护（第3版）,117.30
698,深度学习与飞桨PaddlePaddle Fluid实战,84.15
699,Linux系统管理初学者指南——基于CentOS 7.6,58.65
700,Adobe Dimension CC 2019经典教程,50.15
701,奇妙数学史：从代数到微积分,50.15
702,Istio实战指南,50.15
703,Android App开发入门与实战,58.65
704,自信力 成为最好的自己 第3版,41.65
705,趋势投资 金融市场技术分析指南,100.30
706,学会说话 社交沟通中的刻意练习,50.15
707,AutoCAD 2021中文版从入门到精通,59.33
708,Java 9 并发编程实战,84.15
709,深度学习实战手册 R语言版,67.15
710,Photoshop人像摄影后期处理技法100问,91.80
711,从零开始—— Windows 10+Office 2016综合应用基础教程,50.83
712,Cinema 4D+Photoshop电商海报设计案例教程,67.15
713,代码整洁之道：程序员的职业素养（英文版）,50.15
714,斗魂：稻盛和夫的成功热情,50.15
715,早餐星球 好看好吃又好瘦的健康早餐攻略,74.80
716,移动互联网运营实训：初级,42.33
717,Cisco Nexus交换机与NX-OS排错指南,161.42
718,全国计算机等级考试教程  二级Access数据库程序设计,42.42
719,5G来了：5G如何改变生活、社会和产业,50.15
720,科学家列传 叁,50.83
721,算法详解（卷1）——算法基础,41.65
722,IPv6技术精要 第2版,126.65
723,Vulkan开发实战详解,118.15
724,UiPath Studio开发入门,41.65
725,Python算法详解,67.92
726,深度学习案例精粹,75.65
727,软件测试核心技术 从理论到实践,58.65
728,仿人机器人开发指南,75.65
729,用户至上 移动UI设计实战指南,58.65
730,股票投资入门10堂课,50.83
731,B2B销售原理与实践,58.65
732,Prometheus技术秘笈,75.65
733,自动化测试主流工具入门与提高,46.75
734,极简思维 高效能人士的思维跃迁,46.75
735,5G网络优化与实践进阶,125.80
736,Linux内核深度解析,117.30
737,数字化转型指南：新商业的思维、方法和工具,33.83
738,从零开始——AutoCAD 2020中文版基础教程,50.83
739,精通Selenium WebDriver 3.0 （第2版）,67.15
740,认知行为疗法进阶,75.65
741,光刻巨人：ASML崛起之路,100.30
742,从0到1：HTML5 Canvas动画开发,76.33
743,跟着迪哥学 Python数据分析与机器学习实战,75.65
744,物联网（IoT）安全的编排与自动化,168.30
745,用插画讲故事 Procreate插画设计与实战,101.15
746,移动端机器学习实战,50.15
747,视觉之外 全链路UI设计思维的培养与提升,67.15
748,Kafka Streams实战,58.65
749,Scratch 3.0少儿编程趣味课,50.15
750,数学也可以这样学：自然、空间和时间里的数学,50.15
751,精通数据科学算法,50.15
752,规律与逻辑——用户体验设计法则,109.65
753,手机短视频全攻略 拍摄技巧+剪辑处理+特效制作+字幕音频,50.15
754,PyTorch深度学习,46.75
755,全栈软件测试自动化：Selenium和Appium(Python版),50.15
756,Java核心技术 卷II：高级特性 第11版·英文版 上下册,135.15
757,Python编程无师自通——专业程序员的养成,50.15
758,重构：改善既有代码的设计（第2版）（精装版）,168.30
759,领域驱动设计 软件核心复杂性应对之道 英文版,84.15
760,Adobe Photoshop CC 2018经典教程（彩色版）,91.80
761,微服务与容器,50.15
762,Robot Framework自动化测试精解,50.15
763,决胜金融安全3.0时代 新金融+新科技+新安全,58.65
764,C++程序设计（第3版）,67.15
765,UI设计基础培训教程（全彩版）,58.65
766,敏捷整洁之道：回归本源（英文版）,58.65
767,全国计算机等级考试教程 二级MS Office高级应用,42.33
768,奇趣大自然： 动物萌宝成长记,50.83
769,Unity 3D 内建着色器源码剖析,75.65
770,5G核心网规划与应用,159.80
771,中国创投100人,55.25
772,超越ERP：SAP Hybris解决方案简明指南,67.15
773,趣学框架设计与应用 DOM游戏卷,58.65
774,软件测试流程设计 从传统到敏捷,50.15
775,测试工程师核心开发技术,75.65
776,业务中台产品搭建指南 电商业务平台全流程设计与实战,58.65
777,计算机视觉度量：从特征描述到深度学习,125.80
778,ANSYS Workbench有限元分析实例详解（动力学）,91.80
779,说话心理学 渗透潜意识的语言说服力,41.65
780,插画教室 专业插画设计技法精解,92.65
781,写给大家看的色彩书1——设计配色基础,50.83
782,计算机科学概论 第13版 英文版,84.15
783,精通软件性能测试与LoadRunner实战 第2版,117.30
784,软件测试效率手册,41.65
785,MATLAB/Simulink系统仿真超级学习手册 第2版,75.65
786,编程的乐趣：用Python解算法谜题,50.15
787,测试工程师全栈技术进阶与实践,67.15
788,Python计算与编程实践 多媒体方法 第4版,84.15
789,犯罪心理分析（修订扩展版）,66.30
790,品牌至上——LOGO设计法则与案例应用解析,59.42
791,自由“字”在 字体设计与创意,58.65
792,React Native移动开发实战 第2版,58.65
793,解墨语 彩墨线稿插画实例教程,67.15
794,Photoshop CC 2019实战从入门到精通,67.15
795,科学家列传 贰,50.83
796,持续交付2.0 业务引领的DevOps精要（精装版）,109.65
797,果壳中的5G 新网络时代的技术内涵与商业思维,67.15
798,国之重器出版工程 5G网络协议与客户感知,142.80
799,微课程和多媒体课件设计与制作规范 第2版,40.80
800,黑暗中的光 抑郁康复者的66封来信,50.15
801,图虫影像志,125.80
802,微信公众平台与小程序开发——从零搭建整套系统（第2版）,58.65
803,人工智能入门 常用工具,50.15
804,打造超级区块链社区：建设、运营、实践,41.65
805,小彗星旅行记 注音版,33.15
806,数与式的奇趣乐园,29.75
807,思维导图学习法 带孩子养成超强思考力（英式思维导图）,91.80
808,深度价值投资 上市公司分析精要,46.75
809,从零开始 PHP网页开发基础,50.15
810,Python编程从入门到精通,67.15
811,华为HCNA路由与交换学习指南,84.83
812,肥胖代码 减肥的秘密,57.80
813,Windows黑客编程技术详解,91.80
814,软件测试专项技术——基于Web、移动应用和微信,50.15
815,面向对象程序设计(Java版),67.15
816,OpenCV+VTK+Visual Studio图像识别应用开发 第2版,75.65
817,下一代网络,142.80
818,持续交付2.0：业务引领的DevOps精要,75.65
819,scikit-learn机器学习（第2版）,50.15
820,Wireshark网络分析从入门到实践,67.15
821,“剪刀手”养成记：Premiere Pro/Final Cut Pro/DaVinci Resolve 视频剪辑纵横,58.65
822,中文版CINEMA 4D R20 实用教程（全彩版）,67.15
823,非常网管 IPv6网络部署实战,84.15
824,开源安全运维平台OSSIM疑难解析：入门篇,75.65
825,Adobe XD CC 2019经典教程（彩色版）,92.65
826,极简父母法则  教出快乐、自信、独立的孩子,41.65
827,计算广告：互联网商业变现的市场与技术（第2版）,84.83
828,Vulkan 应用开发指南,75.65
829,编程原本,67.15
830,终极探索：恐龙王国（修订版）,57.80
831,地球传奇：穿越45亿年的奇妙旅程,57.80
832,软件项目估算,58.65
833,和秋叶一起学Excel（第2版）,84.15
834,5G NR物理层规划与设计,142.80
835,股票大作手操盘术——融合时间和价格的利弗莫尔准则,29.75
836,游戏动漫人体结构造型手绘技法,75.65
837,治愈隐性虐待 从心理虐待中康复的六阶段之旅,58.65
838,星光  外星世界与地球的命运,38.25
839,DirectX 12 3D 游戏开发实战,125.80
840,自制AI图像搜索引擎,50.15
841,字传 商业书法字体设计与应用,67.15
842,零基础学Adobe XD产品设计,50.15
843,Python和NLTK自然语言处理,117.30
844,无器械力量训练彩色图谱,50.15
845,5G无线增强设计与国际标准,118.15
846,远程办公效率手册,50.15
847,智能物联网 区块链与雾计算融合应用详解,41.65
848,AutoCAD 2020从入门到精通,50.15
849,人工智能基础 数学知识,46.75
850,开源安全运维平台OSSIM疑难解析：提高篇,75.65
851,Adobe Illustrator CC 2018中文版经典教程（彩色版）,117.30
852,Spring源码深度解析（第2版）,84.15
853,After Effects印象 影视后期特效插件高级技法精解,83.30
854,平面设计基础与实战 小白的进阶学习之路,67.15
855,Unreal Engine 4 游戏开发指南,50.15
856,在线视频技术精要,84.15
857,Unity 3D ShaderLab 开发实战详解 第3版,67.15
858,Python机器学习,67.15
859,网空态势感知理论与模型,58.65
860,C++ 黑客编程揭秘与防范（第3版）,84.15
861,思科ACI部署完全指南,118.15
862,Adobe Dreamweaver CC 2019经典教程,75.65
863,龙芯电脑使用解析（统信 UOS版）,50.15
864,达尔文的物种起源（插图版）,41.65
865,人工智能（第2版）,91.80
866,Python程序设计与科学计算,41.65
867,国之重器出版工程 5G安全技术与标准,135.15
868,国之重器出版工程 5G时代的承载网,108.80
869,国之重器出版工程 5G网络安全实践,109.65
870,智能经济时代生态大变局 赢战5G,75.65
871,计量单位进化史：从度量身体到度量宇宙,50.15
872,科学家列传 壹,50.83
873,SolidWorks 2020中文版机械设计从入门到精通,58.65
874,CSS3艺术  网页设计案例实战,75.65
875,从零开始学K线（实战操练图解版）,33.15
876,轻松学PHP,67.15
877,秋叶特训营 写作7堂课,55.25
878,思维导图应用实战：画出你的时间表,33.15
879,Wireshark数据包分析实战（第3版）,67.15
880,看见 世界,142.80
881,插画教室 专业插画设计基础教程,101.15
882,渗透测试——完全初学者指南,100.30
883,Python 3破冰人工智能：从入门到实战,59.42
884,软件调试（第2版）卷1：硬件基础,100.30
885,从0到1 HTML5+CSS3修炼之道,59.33
886,Word/Excel/PPT实战技术大全,75.65
887,数据产品经理高效学习手册 产品设计、技术常识与机器学习,50.15
888,电商设计技巧修炼与实战应用（超值版）,33.15
889,中文版Premiere Pro CC入门教程（全彩版）,58.65
890,JavaScript入门经典（第7版）,58.65
891,爱因斯坦的怪物：探索黑洞的奥秘,46.75
892,植物大发现：植物猎人的传奇故事（修订版）,58.65
893,奇点将至,50.15
894,WebAssembly标准入门,41.65
895,5G无线网络技术与规划设计,142.80
896,国之重器出版工程 5G空口特性与关键技术,135.15
897,5G移动通信网络规划与设计,101.15
898,5G无线网络优化,84.15
899,国之重器出版工程 5G安全体系与关键技术,75.65
900,幸福的科学 积极心理学在教育中的应用,55.25
901,Cadence 17.2 电路设计与仿真从入门到精通,75.65
902,SAI＋Photoshop漫画/插画绘制技法全解析,67.15
903,运动健身打卡书,108.80
904,UNIX环境高级编程（第3版·英文版）（上下册）,143.65
905,Java零基础实战,59.33
906,网络虚拟化技术详解：NFV与SDN,67.15
907,品牌记忆 十大行业品牌标志设计案例解析,100.30
908,思维导图应用实战：画出你的思维,38.25
909,Adobe After Effects CC 2018经典教程（彩色版）,100.30
910,奔跑吧 Linux内核 入门篇,75.65
911,人工智能的故事,46.75
912,Adobe InDesign CC 2019经典教程（彩色版）,109.65
913,Adobe Premiere Pro CC 2018经典教程（彩色版）,125.80
914,Unity 游戏开发技术详解与典型案例,100.30
915,零基础学Animate CC UI动效制作,38.25
916,从0到1 jQuery快速上手,42.33
917,字游——字体设计技巧与实战,75.65
918,IBM SPSS Modeler 18.0数据挖掘权威指南,91.80
919,Wireshark网络分析实战（第2版）,100.30
920,新印象——中文版Sketch图标与UI界面设计实例教程,50.15
921,鸟哥的Linux私房菜 基础学习篇（第四版）,100.30
922,Power Query For Excel：让工作化繁为简,58.65
923,和秋叶一起学PPT（第4版）,84.15
924,和秋叶一起学Word（第3版）,75.65
925,商业插画绘制技法与应用解析,75.65
926,国之重器出版工程 5G移动性管理技术,74.80
927,国之重器出版工程 5G无线网络规划与设计,67.15
928,5G网络全专业规划设计宝典,142.80
929,品制牌子 品牌设计的美学之道,67.15
930,交互式对话 解决无效沟通的关键对话方法,55.25
931,战胜考试焦虑 如何在考试时保持冷静、自信和专注,59.33
932,Final Cut Pro X基础培训教程,38.25
933, 51单片机C语言程序设计教程,58.65
934,从零开始：Photoshop工具详解与实战,50.83
935,像素世界 像素画设计专业教程,75.65
936,庖丁解牛Linux内核分析,41.65
937,R语言之书：编程与统计,117.30
938,深入浅出Spring Boot 2.x,84.15
939,从零开始学Python（第2版）,58.65
940,Java核心技术 卷I：基础知识（第11版•英文版）（上下册）,126.65
941,C++编程自学宝典,58.65
942,C语言从入门到精通,59.33
943,程序员的7堂职场课,41.65
944,用户增长实战100问,50.83
945,知行：技术人的管理之路,57.80
946,深度强化学习原理与实践,84.15
947,软件性能测试与LoadRunner实战教程（第2版）,91.80
948,Excel 2019从新手到高手,50.83
949,Python统计分析,67.15
950,Elasticsearch实战,67.15
951,Java编程技术大全,101.15
952,After Effects 动态图形设计—入门技法与基础创作,58.65
953,卡通IP时代 品牌卡通形象设计揭秘（第3版）,75.65
954,面向5G的蜂窝物联网（CIoT）规划设计及应用,108.80
955,国之重器出版工程 5G关键技术与工程建设,74.80
956,人工智能 改变未来的颠覆性技术,41.65
957,依恋与12种亲子关系力,46.75
958,Revit MEP 2020中文版 管线综合设计从入门到精通,67.83
959,UG NX 12中文版机械设计与加工自学手册,63.75
960,用Python写网络爬虫（第2版）,41.65
961,Photoshop CC超级学习手册   ,91.80
962,Kotlin入门与实战,75.65
963,算法设计（英文版）,117.30
964,全程软件测试（第3版）,109.65
965,AutoCAD 2019中文版实战从入门到精通,67.83
966,人人都是数据分析师：微软Power BI实践指南,67.15
967,持续集成与持续部署实践,75.65
968,MySQL数据库管理实战,84.15
969,惊鸿  SAI古风插画绘制技法教程,67.15
970,由浅入深学习SAP财务,100.30
971,踮起脚尖去够你想要的生活,33.15
972,从零开始：HTML5+CSS3快速入门教程,50.83
973,零基础学After Effects CC 2018 全视频教学版,50.15
974,5G开启万物智能,58.65
975,国之重器出版工程 5G在智能电网中的应用,108.80
976,面向5G和B5G的先进多载波技术,108.80
977,HTTP抓包实战,50.15
978,创字录 字体设计必修课,58.65
979,Spring微服务实战,67.15
980,教孩子学编程 信息学奥赛C语言版,58.65
981,轻松读懂区块链,41.65
982,人工智能初学者指南,50.15
983,DK天才百科 硅谷工程师爸爸给孩子的每日知识,108.80
984,从0到1 JavaScript 快速上手 微视频版,42.33
985,微服务实践,41.65
986,计算金融基础教程——基于MATLAB,75.65
987,Adobe Animate CC 2018经典教程,67.15
988,游戏AI程序设计实战,50.15
989,Wireshark与Metasploit实战指南,58.65
990,自制编程语言,75.65
991,C++从入门到精通,67.15
992,深入浅出人工神经网络,58.65
993,MATLAB从入门到精通,59.33
994,C++模板元编程实战：一个深度学习框架的初步实现,58.65
995,深入浅出数据科学,58.65
996,数据科学实战手册（第2版）,58.65
997,西伯利亚明珠 贝加尔湖科考纪实,50.15
998,从0到1 HTML+CSS快速上手 微视频版,38.25
999,CCNA 网络安全运营 SECFND 210-250认证考试指南,109.65
1000,花点时间好奇一下,50.15
1001,深度学习导论 精装版,75.65
1002,交易操盘技法精解,41.65
1003,无人机详解与剖析,41.65
1004,选择自己：如何让时间变现，成为更有价值的自己,42.33
1005,建筑信息模型（BIM）专业技术人员岗位能力评价标准,27.20
1006,花点时间好奇一下2：从大爆炸到超弦理论,50.15
1007,UI设计基础培训教程,38.25
1008,仿生产品设计,75.65
1009,软件工程（第4版•修订版）,75.65
1010,Tableau Desktop可视化高级应用,75.65
1011,零基础快速入行入职软件测试工程师,58.65
1012,Event-B建模：系统和软件工程,109.65
1013,D3 4.x数据可视化实战手册（第2版）,58.65
1014,Python神经网络编程,58.65
1015,思科网络技术学院教程：CCNA网络安全运营,68.00
1016, 太阳系的奇迹（第二版）,84.15
1017, 宇宙的奇迹（第二版）,84.15
1018,深度学习企业实战——基于R语言,50.15
1019,京东质量团队转型实践——从测试到测试开发的蜕变,67.15
1020,精通数据科学：从线性回归到深度学习,84.15
1021,从0到1 HTML+CSS+JavaScript快速上手,67.83
1022,分布式缓存——原理、架构及Go语言实现,41.65
1023,深度学习实战之PaddlePaddle,58.65
1024,看盘擒涨停（实战操练图解版）,33.15
1025,喵呜不停,108.80
1026,Scratch 2.0少儿游戏趣味编程,58.65
1027,去繁从简 交互设计知识体系精讲,58.65
1028,终极探索：魔兽世界（修订版）,57.80
1029,Navisworks 2018完全自学教程（培训教材版）,38.25
1030,LabVIEW2018中文版 虚拟仪器程序设计自学手册,67.83
1031,MATLAB从入门到精通（第2版）,75.65
1032,JavaScript函数式编程思想,50.15
1033,量化交易学习指南——基于R语言,58.65
1034,百面机器学习 算法工程师带你去面试,75.65
1035,Adobe InDesign CC 2018经典教程,67.15
1036,Java数据分析指南,67.15
1037,荒野求生秘技(修订版）,50.15
1038,低功耗蓝牙智能硬件开发实战,84.15
1039,Python数据可视化编程实战（第2版）,58.65
1040,猎豹行动：硝烟中的敏捷转型之旅,33.15
1041,Kibana数据可视化,50.15
1042,SQL Server On Linux运维实战,84.15
1043,区块链基础知识25讲,50.15
1044,玩转EVE-NG——带您潜入IT虚拟世界,84.15
1045,无穷的开始：世界进步的本源（第2版）,63.75
1046,程序员学数据结构,50.15
1047,洛煌笈（典藏）,100.30
1048,新印象 中文版CINEMA  4D R19建模/灯光/材质/渲染技术精粹与应用,75.65
1049,PHP安全之道 项目安全的架构、技术与实践,67.15
1050,中国神秘动物全鉴,67.15
1051,青少年学Python,67.15
1052,开放式控制系统编程技术,91.80
1053,离岸交付：分布式团队协作指南,58.65
1054,CAE分析大系 ANSYS nCode DesignLife疲劳分析基础与实例教程,67.15
1055,全栈工程师Web开发指南,67.15
1056,区块链与人工智能 构建智能化数字经济世界,58.65
1057, 人类宇宙 （第二版）,84.15
1058,给Python点颜色——青少年学编程,50.83
1059,分布式对象存储——原理、架构及Go语言实现,50.15
1060,国之重器出版工程 5G承载关键技术与规划设计,67.15
1061,国之重器出版工程 5G移动通信 面向全连接的世界,143.65
1062,质性研究数据分析工具NVivo 12 实用教程,50.15
1063,远程办公全攻略：即时沟通+在线协作+协同管理+移动办公方案,41.65
1064,PPT效率手册,50.83
1065,Cinema 4D电商美工与视觉设计案例教程（培训教材版）,38.25
1066,Revit 2020中文版从入门到精通,58.65
1067,同饮一江水：湄公河科考纪行,50.15
1068,Creo Parametric 5.0动力学与有限元分析从入门到精通,58.65
1069,重构：改善既有代码的设计（第2版·英文版）,108.80
1070,3ds Max 2018超级学习手册,101.15
1071,青少年Python编程入门,38.25
1072,实用型思维导图全解析：思维方法+软件绘制+应用案例,33.15
1073,Python程序设计（第3版）,58.65
1074,JavaScript函数式编程指南,50.15
1075,RISC-V架构与嵌入式开发快速入门,67.15
1076,Keras深度学习实战,50.15
1077,反应式Web应用开发,58.65
1078,大数据开发者权威教程：大数据技术与编程基础,92.65
1079,HBase入门与实践,50.15
1080,科学速读：爱因斯坦的新宇宙,33.15
1081,亲子沟通密码  培养高情商的孩子就这么简单,41.65
1082,秋叶特训营 高效学习7堂课,50.15
1083,简明观星指南,59.42
1084,Go语言入门经典,50.15
1085,树莓派机器人实战秘笈（第3版）,58.65
1086,带你步入编程世界：Scratch 2.0零基础入门,63.75
1087,5G无线系统设计与国际标准,135.15
1088,国之重器出版工程 5G无线接入网架构及关键技术,135.15
1089,国之重器出版工程 5G-NR信道编码,83.30
1090,5G网络的机遇 研究和发展前景,169.15
1091,可视化H5页面设计与制作  Mugeda标准教程,50.83
1092,画树读心 一张图读懂内心世界,67.15
1093,探索设计中的灵感 植物美学,84.15
1094,探索设计中的灵感 动物美学,84.15
1095,Kali Linux无线渗透测试指南（第3版）,41.65
1096,新印象—CINEMA 4D电商设计基础与实战（全视频微课版）,84.15
1097,H5创意与广告设计,50.83
1098,Python深度学习,50.15
1099,Adobe Dreamweaver CC 2018经典教程,58.65
1100,Adobe XD CC 2018经典教程(彩色版),84.15
1101,App自动化测试与框架实战,67.15
1102,Python应用开发实战,67.15
1103,macOS应用开发基础教程,91.80
1104,Python数据分析（第2版）,58.65
1105,Android 嵌入式编程,58.65
1106,古风插画板绘技法100问精讲,135.15
1107,SolidWorks 2018中文版完全自学手册,75.65
1108,Scala实用指南,58.65
1109,UI设计手绘表现从入门到精通,58.65
1110,CSS世界,58.65
1111,AWS云计算实战,67.15
1112,UG NX 12中文版动力学与有限元分析自学手册,67.15
1113,月球旅行指南,46.75
1114,破茧成蝶2——以产品为中心的设计革命 ,67.15
1115,Excel 2019从入门到精通（移动学习版）,42.33
1116,5G移动无线通信技术,100.30
1117,字体设计进化论,58.65
1118,PHP、MySQL和JavaScript入门经典（第6版）,84.15
1119,前端程序员面试秘籍,58.65
1120,高财商 轻松实现财务自由的思考力和行动力,50.15
1121,Word/Excel/PPT 2019从入门到精通 移动学习版,42.33
1122,在路上：一次奇妙的自然探索之旅,50.15
1123,深度学习,142.80
1124,JavaScript忍者秘籍（第2版）,84.15
1125,科学速读：量子物理新话,33.15
1126,绘绎东方——缚海集,91.80
1127,学电脑（Windows 10+Office 2019）从入门到精通（移动学习版）,42.33
1128,R大数据分析实用指南,84.15
1129,跟老韩学Linux运维,117.30
1130,Adobe InDesign CC 2018经典教程（彩色版）,108.80
1131,手把手教你设计CPU——RISC-V处理器篇,84.15
1132,博物之旅：山水间的自然笔记,67.15
1133,PowerPoint 2019从入门到精通（移动学习版）,42.33
1134,UI设计启示录：创意＋对比＋实战,83.30
1135,ITaaS框架完全指南,58.65
1136,机器学习经典算法剖析——基于OpenCV,58.65
1137,新印象——解构UI界面设计,67.15
1138,接口自动化测试持续集成  Postman+Newman+Git+Jenkins+钉钉,55.25
1139,Java架构师指南,75.65
1140,Android 并发开发,41.65
1141,竞技游戏设计实战指南：MOBA+RTS+TCG+FPS,67.15
1142,中文版Flash CC动画制作实用教程,42.33
1143,你是孩子的光——智慧妈妈成长法则,41.65
1144,MarTech 营销技术：原理、策略与实践,67.15
1145,基于BIM的Revit 2019中文版建筑设计实战演练,59.33
1146,Photoshop CC 2017 淘宝美工设计实例教程,58.65
1147,百年地理大发现：雅鲁藏布大峡谷,50.15
1148,天水三江：三江源自然保护区诞生记,50.15
1149,斯瓦尔巴德群岛：北极科研大本营,50.15
1150,天堂亚马孙：雨林探险的日日夜夜,50.15
1151,科学史话：改变世界的100个实验,67.15
1152,Hadoop虚拟化,75.65
1153,SQL优化核心思想,67.15
1154,图像局部特征检测和描述：基于OpenCV源码分析的算法与实现,58.65
1155,Adobe Illustrator CC 2017中文版经典教程（彩色版）,108.80
1156,精通Python爬虫框架Scrapy,50.15
1157,Office 2019办公应用实战从入门到精通,38.25
1158,Word/Excel/PPT 2019办公应用实战从入门到精通,38.25
1159,Excel 2019办公应用实战从入门到精通,38.25
1160,深度学习入门与实战：基于TensorFlow,58.65
1161,Go Web编程,67.15
1162,数字化金融 人工智能 区块链 云计算 大数据与数字文化,63.75
1163,山地车圣经：骑行技术完全手册（第3版）,84.15
1164,Kali Linux 2网络渗透测试实践指南,67.15
1165,机器人爱好者 第8辑,50.15
1166,墨象艺术 品牌设计与创作思路,58.65
1167,MATLAB 2018从入门到精通,109.65
1168,Axure RP8网站与App原型设计经典实例教程（超值版）,41.65
1169,TCP/IP入门经典（第6版）,67.15
1170,软件测试架构实践与精准测试,50.15
1171,中文版3ds Max/VRay室内效果图制作实训教程,76.42
1172,5G移动边缘计算,50.15
1173,极简办公 职场Word基础课,33.15
1174,Cinema 4D电商美工与视觉设计案例教程,58.65
1175,从零开始：CINEMA 4D快速入门教程,67.83
1176,micro:bit超好玩——米爸带你学编程,50.15
1177,天文摄影鉴赏与指南,41.65
1178,飞越太阳系,41.65
1179,Python 3.0科学计算指南,58.65
1180,深度学习与TensorFlow实战,50.15
1181,全程软件测试（十周年版）,169.15
1182,OCaml语言编程基础教程,67.15
1183,Spring学习指南 （第3版）,None
1184,IT运维之道（第2版）,46.75
1185,Linux就该这么学,67.15
1186,深入解析Windows操作系统 卷I（英文版•第7版）,108.80
1187,Cisco Firepower威胁防御（FTD）设备的高级排错与配置,117.30
1188,大数据开发者权威教程：NoSQL、Hadoop组件及大数据实施,92.65
1189,字体故事——六大字体设计原理及实战应用,42.33
1190,随身查 Excel图表制作应用技巧,16.83
1191,Android 游戏案例开发大全（第4版）,91.80
1192,金蝶ERP-K/3标准财务培训教程（14.x版）,58.65
1193,科学速读：脑内新世界,33.15
1194,中文版CINEMA 4D R18 实用教程（全彩版）,67.15
1195,深度学习原理与实践,75.65
1196,Java数据科学指南,67.15
1197,UG NX12中文版完全自学手册,91.80
1198,完美讲堂 3ds Max游戏美术设计与制作技法精讲,83.30
1199,Docker实践,67.15
1200,迈向5G——从关键技术到网络部署,100.30
1201,自控力实验,41.65
1202,SolidWorks 2018有限元  运动仿真与流场分析自学手册,84.15
1203,设计之道 工业产品设计与手绘表达（第2版）,58.65
1204,高效阅读  培养终身受用的阅读力,42.33
1205,30天App开发从0到1：APICloud移动开发实战,58.65
1206,插画师之路：人物角色设计与场景插画手绘技法,100.30
1207,思科网络技术学院教程（第6版）：连接网络,38.25
1208,.NET性能优化,58.65
1209,C语言从入门到精通（精粹版）,67.83
1210,品牌设计法则,125.80
1211,Android APP开发实战——从规划到上线全程详解,58.65
1212,Java从入门到精通（精粹版）,67.83
1213,程序员学Python,75.65
1214,MG动画设计5项修炼：文案+脚本+图形+动作+后期,58.65
1215,Unity 案例开发大全（第2版）,84.83
1216,机器人爱好者 第7辑,50.15
1217,怪咖物理学家的宇宙,50.15
1218,ANSYS 19.0有限元分析完全自学手册,67.15
1219,Python数字信号处理应用,38.25
1220,Oracle从入门到精通,59.33
1221,Yii2框架从入门到精通,75.65
1222,字不语——手写字体设计与应用方法解析,74.80
